No.,IP Address,Hostname,Configured Capacity,DFS Used,DFS Remaining,DFS Used%,DFS Remaining%,Xceivers
1,10.223.6.149,bigdata-wn-149,34.40 TB,13.05 TB,19.34 TB,37.94%,56.22%,79
2,10.223.6.157,bigdata-wn-157,34.40 TB,23.05 TB,9.34 TB,67.02%,27.14%,73
3,10.223.6.156,bigdata-wn-156,34.40 TB,24.33 TB,8.06 TB,70.73%,23.43%,73
4,10.223.6.146,bigdata-wn-146,37.52 TB,26.64 TB,8.69 TB,71.00%,23.16%,94
5,10.223.6.147,bigdata-wn-147,37.52 TB,26.81 TB,8.53 TB,71.44%,22.73%,79
6,10.223.6.144,bigdata-wn-144,37.52 TB,27.22 TB,8.12 TB,72.54%,21.63%,72
7,10.223.6.152,bigdata-wn-152,37.52 TB,27.45 TB,7.89 TB,73.15%,21.02%,61
8,10.223.6.141,bigdata-wn-141,37.52 TB,27.54 TB,7.79 TB,73.40%,20.76%,51
9,10.223.6.145,bigdata-wn-145,37.52 TB,27.95 TB,7.38 TB,74.49%,19.68%,74
10,10.223.6.154,bigdata-wn-154,34.41 TB,25.69 TB,6.70 TB,74.68%,19.49%,74
11,10.223.6.150,bigdata-wn-150,37.52 TB,28.12 TB,7.21 TB,74.95%,19.21%,93
12,10.223.6.153,bigdata-wn-153,37.52 TB,28.13 TB,7.21 TB,74.96%,19.20%,67
13,10.223.6.41,bigdata-w-041,42.01 TB,31.53 TB,10.46 TB,75.07%,24.91%,79
14,10.223.6.155,bigdata-wn-155,37.52 TB,28.28 TB,7.05 TB,75.37%,18.80%,77
15,10.223.6.158,bigdata-wn-158,37.52 TB,28.60 TB,6.73 TB,76.23%,17.94%,75
16,10.223.6.143,bigdata-wn-143,37.52 TB,28.87 TB,6.46 TB,76.95%,17.22%,90
17,10.223.6.151,bigdata-wn-151,37.52 TB,28.91 TB,6.42 TB,77.06%,17.11%,92
18,10.223.6.142,bigdata-wn-142,37.52 TB,29.01 TB,6.33 TB,77.30%,16.86%,120
19,10.223.6.36,bigdata-w-036,38.18 TB,29.53 TB,8.65 TB,77.34%,22.65%,65
20,10.223.6.39,bigdata-w-039,38.18 TB,29.62 TB,8.55 TB,77.58%,22.40%,70
21,10.223.6.140,bigdata-wn-140,37.52 TB,29.41 TB,5.92 TB,78.38%,15.78%,81
22,10.223.6.42,bigdata-w-042,42.01 TB,32.95 TB,9.05 TB,78.43%,21.55%,85
23,10.223.6.44,bigdata-w-044,38.18 TB,29.96 TB,8.21 TB,78.48%,21.51%,53
24,10.223.6.40,bigdata-w-040,42.01 TB,33.75 TB,8.24 TB,80.36%,19.62%,109
25,10.223.6.37,bigdata-w-037,38.18 TB,30.72 TB,7.45 TB,80.47%,19.51%,69
26,10.223.6.45,bigdata-w-045,38.18 TB,30.97 TB,7.20 TB,81.12%,18.87%,74
27,10.223.6.12,bigdata-w-012,42.01 TB,34.18 TB,7.82 TB,81.37%,18.62%,68
28,10.223.6.38,bigdata-w-038,38.18 TB,31.17 TB,7.00 TB,81.65%,18.33%,63
29,10.223.6.4,bigdata-w-043,42.01 TB,34.58 TB,7.42 TB,82.32%,17.67%,71
30,10.223.6.10,bigdata-w-010,42.01 TB,34.75 TB,7.25 TB,82.72%,17.27%,78
31,10.223.6.2,bigdata-w-002,42.01 TB,35.44 TB,6.56 TB,84.38%,15.61%,96
32,10.223.6.1,bigdata-w-001,42.01 TB,35.99 TB,6.01 TB,85.69%,14.30%,88
33,10.223.6.11,bigdata-w-011,42.01 TB,36.51 TB,5.49 TB,86.91%,13.07%,100
34,10.223.6.3,bigdata-w-003,42.01 TB,36.75 TB,5.25 TB,87.49%,12.50%,79
35,10.223.6.4,bigdata-w-004,42.01 TB,37.13 TB,4.86 TB,88.40%,11.58%,64
36,10.223.6.9,bigdata-w-009,43.01 TB,38.03 TB,3.96 TB,90.54%,9.44%,122
37,10.223.6.148,bigdata-wn-148,,,,100.00%,0.00%,0
